CaseID,UniqueLabels,Corr_TrainedWithSkips,Corr_RandomNoSkips
BraTS20_Training_208,0;1;2;4,-0.707123,0.246432
BraTS20_Training_209,0;1;2;4,-0.706249,0.120951
BraTS20_Training_210,0;1;2;4,-0.630750,0.066023
BraTS20_Training_211,0;1;2;4,-0.712809,-0.101949
BraTS20_Training_212,0;1;2;4,-0.647583,0.016081
BraTS20_Training_213,0;1;2;4,-0.711656,-0.101259
BraTS20_Training_214,0;1;2;4,-0.691538,-0.043540
BraTS20_Training_215,0;1;2;4,-0.693888,-0.019232
BraTS20_Training_216,0;1;2;4,-0.654767,0.077378
BraTS20_Training_217,0;1;2;4,-0.673887,-0.096284
BraTS20_Training_218,0;1;2;4,-0.676115,0.012532
BraTS20_Training_219,0;1;2;4,-0.661143,-0.195979
BraTS20_Training_220,0;1;2;4,-0.620774,-0.109016
BraTS20_Training_221,0;1;2;4,-0.646457,-0.002696
BraTS20_Training_222,0;1;2;4,-0.645336,0.138766
BraTS20_Training_223,0;1;2;4,-0.632386,-0.119009
BraTS20_Training_224,0;1;2;4,-0.634671,0.273225
BraTS20_Training_225,0;1;2;4,-0.613638,-0.180397
BraTS20_Training_226,0;1;2;4,-0.712442,0.293065
BraTS20_Training_227,0;1;2;4,-0.718258,-0.078758
BraTS20_Training_228,0;1;2;4,-0.716113,0.091426
BraTS20_Training_229,0;1;2;4,-0.662608,0.061365
BraTS20_Training_230,0;1;2;4,-0.669391,-0.025895
BraTS20_Training_231,0;1;2;4,-0.688778,-0.017242
BraTS20_Training_232,0;1;2;4,-0.684258,0.143260
BraTS20_Training_233,0;1;2;4,-0.697452,-0.167124
BraTS20_Training_234,0;1;2;4,-0.653915,0.157348
BraTS20_Training_235,0;1;2;4,-0.619426,-0.064793
BraTS20_Training_236,0;1;2;4,-0.702371,0.089126
BraTS20_Training_237,0;1;2;4,-0.705279,0.168702
BraTS20_Training_238,0;1;2;4,-0.598889,0.089227
BraTS20_Training_239,0;1;2;4,-0.648909,-0.121295
BraTS20_Training_240,0;1;2;4,-0.688431,-0.092557
BraTS20_Training_241,0;1;2;4,-0.643264,-0.003250
BraTS20_Training_242,0;1;2;4,-0.651517,-0.156385
BraTS20_Training_243,0;1;2;4,-0.679658,-0.130101
BraTS20_Training_244,0;1;2;4,-0.666165,-0.115855
BraTS20_Training_245,0;1;2;4,-0.629834,0.195730
BraTS20_Training_246,0;1;2;4,-0.727056,0.027582
BraTS20_Training_247,0;1;2;4,-0.694810,0.284493
BraTS20_Training_248,0;1;2;4,-0.616672,-0.036440
BraTS20_Training_249,0;1;2;4,-0.706894,0.108402
BraTS20_Training_250,0;1;2;4,-0.702057,-0.049169
BraTS20_Training_251,0;1;2;4,-0.688093,-0.182161
BraTS20_Training_252,0;1;2;4,-0.687416,-0.178310
BraTS20_Training_253,0;1;2;4,-0.688713,0.209190
BraTS20_Training_254,0;1;2;4,-0.664189,-0.170823
BraTS20_Training_255,0;1;2;4,-0.703154,0.151581
BraTS20_Training_256,0;1;2;4,-0.677279,-0.155124
BraTS20_Training_257,0;1;2;4,-0.686371,0.233644
BraTS20_Training_258,0;1;2;4,-0.686171,0.199768
BraTS20_Training_259,0;1;2;4,-0.683145,0.030818
BraTS20_Training_260,0;1;2;4,-0.695261,0.057514
BraTS20_Training_261,0;1;2;4,-0.627267,0.015435
BraTS20_Training_262,0;1;2,-0.672752,0.046500
BraTS20_Training_263,0;1;2,-0.639473,0.078214
BraTS20_Training_264,0;1;2,-0.666347,-0.368351
BraTS20_Training_265,0;1;2,-0.676186,0.077834
BraTS20_Training_266,0;1;2,-0.645231,0.161912
BraTS20_Training_267,0;1;2;4,-0.707957,0.147787
BraTS20_Training_268,0;1;2,-0.666034,-0.235356
BraTS20_Training_269,0;1;2,-0.620749,0.251137
BraTS20_Training_270,0;1;2;4,-0.719987,0.076040
BraTS20_Training_271,0;1;2;4,-0.681868,-0.072481
BraTS20_Training_272,0;1;2,-0.697008,-0.094573
BraTS20_Training_273,0;1;2;4,-0.709736,0.074721
BraTS20_Training_274,0;1;2;4,-0.699512,0.065556
BraTS20_Training_275,0;1;2,-0.731457,0.026368
BraTS20_Training_276,0;1;2;4,-0.705625,-0.008122
BraTS20_Training_277,0;1;2;4,-0.675748,0.135518
BraTS20_Training_278,0;1;2,-0.687958,-0.069510
BraTS20_Training_279,0;1;2,-0.655018,0.044594
BraTS20_Training_280,0;1;2;4,-0.689250,0.204896
BraTS20_Training_281,0;1;2,-0.705993,-0.228320
BraTS20_Training_282,0;1;2;4,-0.695272,-0.121223
BraTS20_Training_283,0;1;2;4,-0.666068,-0.217410
BraTS20_Training_284,0;1;2;4,-0.704795,0.095430
BraTS20_Training_285,0;1;2;4,-0.634607,0.074819
BraTS20_Training_286,0;1;2,-0.648580,-0.356352
BraTS20_Training_287,0;1;2;4,-0.708529,0.003797
BraTS20_Training_288,0;1;2;4,-0.715831,0.198855
BraTS20_Training_289,0;1;2,-0.674016,0.192176
BraTS20_Training_290,0;1;2;4,-0.603931,0.015643
BraTS20_Training_291,0;1;2;4,-0.623498,-0.112246
BraTS20_Training_292,0;1;2;4,-0.711181,-0.034205
BraTS20_Training_293,0;1;2;4,-0.708458,0.037694
BraTS20_Training_294,0;1;2,-0.709285,0.120818
BraTS20_Training_295,0;1;2;4,-0.638493,0.021470
BraTS20_Training_296,0;1;2;4,-0.661070,0.214234
BraTS20_Training_297,0;1;2,-0.660470,-0.040683
BraTS20_Training_298,0;1;2;4,-0.661473,0.185752
BraTS20_Training_299,0;1;2;4,-0.642670,-0.164815
BraTS20_Training_300,0;1;2;4,-0.673511,-0.236999
BraTS20_Training_301,0;1;2;4,-0.684254,0.085912
BraTS20_Training_302,0;1;2;4,-0.697265,-0.168941
BraTS20_Training_303,0;1;2;4,-0.679224,0.112465
BraTS20_Training_304,0;1;2,-0.702645,0.247679
BraTS20_Training_305,0;1;2,-0.696794,-0.106172
BraTS20_Training_306,0;1;2,-0.705925,-0.004823
BraTS20_Training_307,0;1;2;4,-0.711271,0.072590
BraTS20_Training_308,0;1;2;4,-0.697223,0.117557
BraTS20_Training_309,0;1;2;4,-0.730784,0.012955
BraTS20_Training_310,0;1;2,-0.629036,-0.207175
BraTS20_Training_311,0;1;2;4,-0.676889,0.225168
BraTS20_Training_312,0;1;2,-0.698224,-0.152485
BraTS20_Training_313,0;1;2;4,-0.657939,0.077494
BraTS20_Training_314,0;1;2;4,-0.682681,0.033423
BraTS20_Training_315,0;1;2;4,-0.683842,-0.078859
BraTS20_Training_316,0;1;2;4,-0.650864,0.139747
BraTS20_Training_317,0;1;2;4,-0.664540,-0.018034
BraTS20_Training_318,0;1;2;4,-0.694664,0.266715
BraTS20_Training_319,0;1;2,-0.715010,-0.014088
BraTS20_Training_320,0;1;2;4,-0.695528,-0.054806
BraTS20_Training_321,0;1;2,-0.672712,-0.136730
BraTS20_Training_322,0;1;2;4,-0.732006,0.305799
BraTS20_Training_323,0;1;2;4,-0.706958,-0.021312
BraTS20_Training_324,0;1;2,-0.703173,0.027175
BraTS20_Training_325,0;1;2;4,-0.699827,-0.192462
BraTS20_Training_326,0;1;4,-0.680926,0.281291
BraTS20_Training_327,0;1;2;4,-0.645105,0.097068
BraTS20_Training_328,0;1;2;4,-0.664997,0.144088
BraTS20_Training_329,0;1;2,-0.703837,-0.133233
BraTS20_Training_330,0;1;2,-0.707125,-0.109613
BraTS20_Training_331,0;1;2;4,-0.703759,0.186299
BraTS20_Training_332,0;1;2;4,-0.659437,0.056274
BraTS20_Training_333,0;1;2;4,-0.618252,-0.208161
BraTS20_Training_334,0;1;2;4,-0.681646,0.025284
BraTS20_Training_335,0;1;2,-0.711663,-0.002846
BraTS20_Training_336,0;1;2;4,-0.705711,-0.090032
BraTS20_Training_337,0;1;2;4,-0.687593,-0.139428
BraTS20_Training_338,0;1;2;4,-0.697390,-0.239697
BraTS20_Training_339,0;1;2;4,-0.701029,-0.221871
BraTS20_Training_340,0;1;2;4,-0.674403,0.170657
BraTS20_Training_341,0;1;2;4,-0.670161,0.025082
BraTS20_Training_342,0;1;2;4,-0.710750,-0.230156
BraTS20_Training_343,0;1;2;4,-0.698841,0.171741
BraTS20_Training_344,0;1;2;4,-0.708980,-0.040531
BraTS20_Training_345,0;1;2;4,-0.649142,-0.079238
BraTS20_Training_346,0;1;2;4,-0.696633,0.040608
BraTS20_Training_347,0;1;2;4,-0.698670,-0.081988
BraTS20_Training_348,0;1;2;4,-0.695754,0.060913
BraTS20_Training_349,0;1;2;4,-0.626866,-0.058490
BraTS20_Training_350,0;1;2;4,-0.686130,-0.014934
BraTS20_Training_351,0;1;2;4,-0.722643,0.092413
BraTS20_Training_352,0;1;2;4,-0.608875,-0.178654
BraTS20_Training_353,0;1;2;4,-0.715101,0.177167
BraTS20_Training_354,0;1;2;4,-0.679100,-0.012209
BraTS20_Training_356,0;1;2;4,-0.700620,0.079947
BraTS20_Training_357,0;1;2;4,-0.709689,0.167045
BraTS20_Training_358,0;1;2;4,-0.732266,-0.076087
BraTS20_Training_359,0;1;2;4,-0.715090,0.078952
BraTS20_Training_360,0;1;2;4,-0.633407,0.136743
BraTS20_Training_361,0;1;2;4,-0.681419,0.132090
BraTS20_Training_362,0;1;2;4,-0.694446,0.128753
BraTS20_Training_363,0;1;2;4,-0.659474,-0.013045
BraTS20_Training_364,0;1;2;4,-0.726049,-0.071005
BraTS20_Training_365,0;1;2;4,-0.687606,0.005761
BraTS20_Training_366,0;1;2;4,-0.686547,-0.036226
BraTS20_Training_367,0;1;2;4,-0.727791,-0.269528
BraTS20_Training_368,0;1;2;4,-0.693563,-0.053460
BraTS20_Training_369,0;1;2;4,-0.701054,-0.128064
